,DQCode,DQName,DateType,HYCode,HYName,HdDate,Hkcode,JG_SUM,LTSZ,LTZB,LTZB_One,Market,NewPrice,ORIGINALCODE,ORIGINALCODE_DQ,SCode,SName,ShareHold,ShareHold_Before_One,ShareHold_Chg_One,ShareSZ,ShareSZ_Before_One,ShareSZ_Chg_One,ShareSZ_Chg_Rate_One,SharesRate,ZSZ,ZZB,ZZB_One,Zdf
35,020023,陕西板块,y,016040,材料行业,2021-07-26,1000008357,92.0,478765065936.3,0.107783943405691,0.0809469070407028,001,88.45,537,165,601012,隆基股份,583416470.0,0.0,179548416.4,51603186771.5,0.0,16184837588.322,1.28738565478103,10.77,478775667022.6,0.107781556845628,0.0808510463279577,-4.1608
36,020023,陕西板块,jd,016040,材料行业,2021-07-26,1000008357,92.0,478765065936.3,0.107783943405691,0.018269894548371,001,88.45,537,165,601012,隆基股份,583416470.0,0.0,64514681.4000001,51603186771.5,0.0,6529689923.14201,0.200715754331626,10.77,478775667022.6,0.107781556845628,0.018269490015012,-4.1608
37,020023,陕西板块,m,016040,材料行业,2021-07-26,1000008357,92.0,478765065936.3,0.107783943405691,-0.000991371335464456,001,88.45,537,165,601012,隆基股份,583416470.0,0.0,-5586191.0,51603186771.5,0.0,-451559615.25,-0.00911053156535037,10.77,478775667022.6,0.107781556845628,-0.000991349384446879,-4.1608
38,020023,陕西板块,10,016040,材料行业,2021-07-26,1000008357,92.0,478765065936.3,0.107783943405691,0.000405530376220524,001,88.45,537,165,601012,隆基股份,583416470.0,0.0,1624785.0,51603186771.5,0.0,200563376.29,0.00377294519721682,10.77,478775667022.6,0.107781556845628,0.000405521396936881,-4.1608
39,020023,陕西板块,5,016040,材料行业,2021-07-26,1000008357,92.0,478765065936.3,0.107783943405691,0.000274077170741578,001,88.45,537,165,601012,隆基股份,583416470.0,0.0,1242092.0,51603186771.5,0.0,130729008.53,0.00254826383706186,10.77,478775667022.6,0.107781556845628,0.000274071102104552,-4.1608
40,020023,陕西板块,3,016040,材料行业,2021-07-26,1000008357,92.0,478765065936.3,0.107783943405691,-0.00127225427149752,001,88.45,537,165,601012,隆基股份,583416470.0,0.0,-7177119.0,51603186771.5,0.0,-642028368.84,-0.0116603021903166,10.77,478775667022.6,0.107781556845628,-0.00127222610114916,-4.1608
41,020023,陕西板块,1,016040,材料行业,2021-07-26,1000008357,92.0,478765065936.3,0.107783943405691,-0.000938581601817925,001,88.45,537,165,601012,隆基股份,583416470.0,0.0,-5300947.0,51603186771.5,0.0,-468868762.15,-0.00862958217945845,10.77,478775667022.6,0.107781556845628,-0.000938560819674541,-4.1608
42,020002,北京板块,y,016038,旅游酒店,2021-07-26,1000008074,86.0,513462018561.12,0.0953520153284952,-0.0226054043032337,001,262.98,485,150,601888,中国中免,186172478.0,0.0,-34017358.0,48959638264.44,0.0,-9123014356.59,-0.200447485978854,9.53,513462018561.12,0.0953520153284952,-0.0226054043032337,-5.2939
43,020002,北京板块,jd,016038,旅游酒店,2021-07-26,1000008074,86.0,513462018561.12,0.0953520153284952,-0.000687182351215359,001,262.98,485,150,601888,中国中免,186172478.0,0.0,-2009739.0,48959638264.44,0.0,-400714133.48,-0.00712982744281521,9.53,513462018561.12,0.0953520153284952,-0.000687182351215359,-5.2939
44,020002,北京板块,m,016038,旅游酒店,2021-07-26,1000008074,86.0,513462018561.12,0.0953520153284952,-0.00190703407627735,001,262.98,485,150,601888,中国中免,186172478.0,0.0,-3897046.0,48959638264.44,0.0,-1095360813.01,-0.0195898706807208,9.53,513462018561.12,0.0953520153284952,-0.00190703407627735,-5.2939
